Rain,mositure,humdity,Valve
yes,50,30,0
yes,10,55,0
yes,55,89,0
no,88,50,0
no,26,27,1
yes,64,78,0
no,10,18,1
no,11,36,1
no,28,23,1
no,98,75,0
yes,80,87,0
yes,18,85,0
no,35,67,1
yes,18,78,0
no,38,94,0
no,21,58,1
no,86,12,0
yes,0,86,0
no,86,12,0
no,15,69,1
no,15,75,1
yes,58,75,0
no,15,89,0
no,19,43,1
yes,54,89,0
yes,84,78,0
yes,67,70,0
no,18,25,1
yes,56,89,0
yes,93,99,0
yes,88,78,0
no,99,56,0
no,11,18,1
no,35,42,1
no,35,23,1
yes,23,54,0
no,16,15,1
no,40,56,1
yes,78,94,0
no,76,53,0
no,22,12,1
no,88,14,0
no,34,95,0
yes,54,58,0
no,52,26,1
no,54,86,0
no,86,32,0
yes,28,84,0
no,24,54,1
no,34,11,1
yes,31,89,0
no,18,78,1
no,67,56,0
no,31,11,1
no,34,77,1
yes,67,56,0
no,67,78,0
no,32,25,1
no,23,44,1
no,33,38,1
no,39,75,0
yes,53,55,0
yes,18,50,0
no,35,67,1
yes,18,78,0
no,22,34,1
no,21,58,1
yes,82,95,0
no,12,22,1
no,34,12,1
no,15,69,1
no,15,75,1
yes,58,75,0
no,15,89,0
no,19,43,1
yes,54,89,0
yes,84,78,0
no,15,64,1
no,18,25,1
yes,89,89,0
yes,65,99,0
yes,15,78,0
no,64,56,0
no,38,18,1
no,35,45,1
no,35,51,1
no,23,22,1
no,16,15,1
no,40,56,1
no,11,22,1
no,22,12,1
no,43,12,1
no,94,14,0
no,34,96,0
yes,54,58,0
no,52,26,1
no,54,86,0
no,86,32,0
yes,28,84,0
no,24,45,1
no,48,48,1
yes,31,55,0
no,18,34,1
no,33,33,0
yes,49,88,0
yes,99,69,0
no,24,34,1
no,44,44,1
no,32,25,1
no,47,22,1
no,34,96,0
yes,54,58,0
no,52,26,1
no,54,86,0
no,86,32,0
yes,28,84,0
no,24,45,1
no,48,48,1
yes,31,55,0
no,18,34,1
no,33,33,0
yes,49,88,0
yes,99,69,0
no,24,34,1
no,44,44,1
no,32,25,1
no,47,22,1
yes,58,75,0
no,15,89,0
no,19,43,1
yes,54,89,0
yes,84,78,0
no,15,64,1
no,18,25,1
yes,89,89,0
yes,65,99,0
yes,15,78,0
no,64,56,0
no,38,18,1
no,35,45,1
no,35,51,1
no,23,22,1
no,16,15,1
no,40,56,1
no,11,22,1
no,22,12,1
no,43,12,1
no,94,14,0
no,34,96,0
yes,54,58,0
no,52,26,1
no,54,86,0
no,86,32,0
yes,28,84,0
no,24,45,1
no,48,48,1
yes,31,55,0
no,18,34,1
no,33,33,0
yes,49,88,0
yes,99,69,0
no,24,34,1
no,44,44,1
no,32,25,1
no,47,22,1
no,25,1,1
yes,56,89,0
yes,93,99,0
yes,88,78,0
no,99,56,0
no,11,18,1
no,35,42,1
no,35,23,1
yes,23,54,0
no,16,15,1
no,40,56,1
yes,78,94,0
no,76,53,0
no,22,12,1
no,88,14,0
no,34,95,0
yes,54,58,0
no,52,26,1
no,54,86,0
no,86,32,0
yes,28,84,0
no,28,23,1
no,98,75,0
yes,80,87,0
yes,18,85,0
no,35,67,1
yes,18,78,0
no,38,94,0
no,21,58,1
no,86,12,0
yes,0,86,0
no,86,12,0
no,15,69,1
no,15,75,1
yes,58,75,0
